X,Y,OBJECTID,STATUS,ASSET_ID,ASSET_NAME,ASSET_ADDR,SITE_NAME,SITE_CODE,SHAREBLDG_ASSETID,SHAREBLDG_NOTE,ASSET_GROUP1,ASSET_GROUP2,ASSET_TYPE,ASSET_SUBTYPE1,ASSET_SUBTYPE2,ASSET_SUBT1_DESC,CITYOWNED,CITYUSE_DESC,OCCUPANT,MAINTAINEDBY,OPA_ID,OPA_OWNER,BLDG_SQFT,BLDG_SQFTUSE,BLDG_FL,BLDG_YR,SITE_ACRES,SERVING_TYPE,PCPC_DIST,COUNCIL_DIST,BLDG_AGE,URL,SITE_CODE2
-74.972601134926776,40.096586783937596,1030,A,2236,Fitzpatrick Playground Street Hockey Rink,3500 ACADEMY RD,Fitzpatrick Playground,,,,Parks and Recreation All,Recreational Resources,Equipment,Street Hockey Court\Rink,,Street Hockey Court\Rink,Y,Owned,Public use,PPR,786001800,SCHOOL DISTRICT OF PHILA,,,,,,C,Lower Far Northeast,10,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=742,
-74.972191675568141,40.096541128639331,1031,A,2237,Fitzpatrick Playground Basketball Court,3500 ACADEMY RD,Fitzpatrick Playground,,,,Parks and Recreation All,Recreational Resources,Equipment,Basketball Court,,Basketball Court,Y,Owned,Public use,PPR,786001800,SCHOOL DISTRICT OF PHILA,,,,,,C,Lower Far Northeast,10,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=742,
-75.16822480360274,39.915705672280801,1032,A,283,Mollbore Terrace & 12th St Park,1226 MOLLBORE TER,Mollbore Terrace & 12th St,16435E,,,Parks and Recreation All,Park Land and Open Space,Land,Breezeway\Island\Managed Area,,Breezeway\Island\Managed Open Space,Y,Owned,Public use,PPR,781284000,CITY OF PHILA,,,,,0.482167,C,South,2,,,
-75.20881921937216,39.941441562515799,1033,A,292,47th And Grays Ferry Park,4700 PASCHALL AVE,47th & Graysferry Park,16050E,,,Parks and Recreation All,Park Land and Open Space,Land,Neighborhood Park,,Neighborhood Park,Y,Owned,Public use,PPR,273170510,CITY OF PHILA,,,,,0.169618,C,University Southwest,3,,,
-75.222928531490524,39.920469990142337,1034,A,293,63rd & Eastwick St Play Lot ,2901-19 S 63RD ST,Lindbergh Park,16066E,,,Parks and Recreation All,Recreational Resources,Equipment,Playground,,Playground Equipment,Y,Owned,Public use,PPR,402125510,REDEVELOPMENT AUTHORITY,,,,,,C,Lower Southwest,3,,,
-75.239156184733901,39.914872540490251,1035,A,294,7137-39 Theodore Street,7137-39 THEODORE ST,7137-39 Theodore Street,16581E,,,Parks and Recreation All,Park Land and Open Space,Land,Breezeway\Island\Managed Area,,Breezeway\Island\Managed Open Space,Y,Owned,Public use,PPR,404250401,MCDONNELL TIM,,,,,0.055363,C,Lower Southwest,2,,,
-75.20086007753315,39.966016964016596,1036,A,298,39th & Olive Playground Building,700-14 N 39TH ST,39th & Olive Playground,16047E,,,Parks and Recreation All,Recreational Resources,Building,Recreation Building,,Recreation Building,Y,Owned,PPR,PPR,783656600,CITY OF PHILA,494,,1,,,C,West,3,,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=787,
-75.088262986249404,40.017003432466979,1037,A,299,Overington Park,4600 LEIPER ST,Overington Park,16474E,,,Parks and Recreation All,Park Land and Open Space,Land,Neighborhood Park,,Neighborhood Park,Y,Owned,Public use,PPR,786272400,CITY OF PHILADELPHIA,1469,,,,4.136202,C,Lower Northeast,7,,,
-75.159080504260032,39.943765511081686,1038,A,301,Seger Park Playground Building,1000-42 LOMBARD ST,Seger Park Playground,16431E,,,Parks and Recreation All,Recreational Resources,Building,Recreation Building,,Recreation Building,Y,Owned,PPR,PPR,781206100,CITY OF PHILA,983,,1,1900,,C,Central,1,116,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=829,
-75.235377057030576,39.915748942842775,1039,A,302,2619-21 S 70th Street,2619-21 S 70TH ST,2619-21 S 70th Street,16074E,,,Parks and Recreation All,Park Land and Open Space,Land,Breezeway\Island\Managed Area,,Breezeway\Island\Managed Open Space,Y,Owned,Public use,PPR,406135601,CITY OF PHILA,,,,,0.058470,C,Lower Southwest,2,,,
